ballpark,city,2023,2022,2021
Globe Life Field,Arlington,256,198,194
Truist Park,Atlanta,250,190,210
Great American Ball Park,Cincinnati,243,217,250
Dodger Stadium,Los Angeles,238,196,231
Yankee Stadium,Bronx,231,207,219
Angel Stadium,Anaheim,228,195,209
Citizens Bank Park,Philadelphia,217,188,199
Target Field,Minneapolis,212,169,233
Coors Field,Denver,208,200,202
Citi Field,New York,205,149,170
Tropicana Field,Tampa Bay,202,155,171
American Family Field,Milwaukee,196,215,185
Wrigley Field,Chicago,195,164,242
Minute Maid Park,Houston,194,184,204
Nationals Park,Washington,192,200,216
Guaranteed Rate Field,Chicago,191,175,208
Busch Stadium,St. Louis,190,166,150
Fenway Park,Boston,188,183,198
Kauffman Stadium,Kansas City,186,140,160
T-Mobile Park,Seattle,185,193,193
Rogers Centre,Toronto,184,204,97
Oakland Coliseum,Oakland,175,137,178
Comerica Park,Detroit,174,123,154
Oriole Park,Baltimore,172,151,277
Petco Park,San Diego,170,163,184
Marlins Park,Miami,167,161,150
Oracle Park,San Francisco,162,132,171
Chase Field,Phoenix,159,150,171
PNC Park,Pittsburgh,143,160,147
Progressive Field,Cleveland,128,148,213
